robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-17,taking_pod,"(23,4)",3.449999999999999,4.199999999999999,intersection-1,0.0008287499999999998,0
robot-15,taking_pod,"(20,13)",6.0000000000000036,6.750000000000005,intersection-43,0.0008287499999999998,0
robot-9,taking_pod,"(11,19)",6.900000000000006,7.500000000000007,intersection-49,0.0006693749999999998,0
robot-15,taking_pod,"(20,13)",10.050000000000013,10.650000000000015,intersection-31,0.0005793749999999999,1
robot-6,taking_pod,"(12,8)",5.850000000000003,12.75000000000002,intersection-31,0.005047500000000001,1
robot-16,taking_pod,"(11,7)",5.850000000000003,13.650000000000022,intersection-31,0.00139375,0
robot-11,taking_pod,"(20,2)",16.050000000000026,19.349999999999994,intersection-19,0.00067875,1
robot-1,delivering_pod,"(4,21)",13.500000000000021,20.099999999999987,intersection-43,0.00546,0
robot-9,delivering_pod,"(4,15)",13.650000000000022,22.499999999999964,intersection-37,0.003962499999999999,0
robot-11,taking_pod,"(20,2)",22.79999999999996,23.549999999999955,intersection-7,0.0005087500000000001,0
robot-8,taking_pod,"(13,4)",35.099999999999845,35.84999999999984,intersection-7,0.0007387499999999999,0
robot-11,delivering_pod,"(4,9)",30.149999999999892,36.74999999999983,intersection-7,0.00546,0
