order_id,order_arrival,process_start_time,order_complete_time,station_id
-46,0,1,110,picker-1
-36,0,1,218,picker-1
-50,0,1,316,picker-2
-43,0,1,324,picker-0
-39,0,1,360,picker-2
-35,0,1,417,picker-2
-27,0,1,492,picker-0
-30,0,1,569,picker-2
-43,0,1,601,picker-0
-27,0,1,601,picker-0
-14,0,1,747,picker-2
-20,0,1,782,picker-1
-24,0,1,793,picker-0
-18,0,1,820,picker-1
-46,0,1,820,picker-1
-22,0,1,860,picker-0
-15,0,1,882,picker-0
-2,0,1,971,picker-2
-50,0,1,971,picker-2
-35,0,1,971,picker-2
-12,0,1,971,picker-0
