order_id,order_arrival,process_start_time,order_complete_time,station_id
-49,0,1,62,picker-0
-24,0,1,107,picker-0
-15,0,1,107,picker-0
-3,0,1,107,picker-0
-15,0,1,107,picker-0
-3,0,1,107,picker-0
-50,0,1,170,picker-2
-48,0,1,177,picker-0
-27,0,1,211,picker-2
-1,0,1,218,picker-1
-1,0,1,218,picker-1
-46,0,1,283,picker-2
-10,0,1,283,picker-2
-44,0,108,338,picker-0
-41,0,1,391,picker-2
-39,0,1,391,picker-2
-39,0,1,391,picker-2
-47,0,1,403,picker-0
-45,0,63,447,picker-0
-42,0,1,463,picker-1
-29,0,1,463,picker-1
-26,0,1,498,picker-1
-43,0,108,520,picker-0
-45,0,63,520,picker-0
-38,0,171,533,picker-2
-10,0,1,533,picker-2
-35,0,1,548,picker-1
-36,0,212,594,picker-2
-42,0,1,605,picker-1
-35,0,1,605,picker-1
-6,0,1,627,picker-1
-34,0,219,716,picker-1
-43,0,108,749,picker-0
-32,0,284,773,picker-2
-30,0,392,818,picker-2
-33,0,284,840,picker-2
-22,0,464,857,picker-1
-40,0,108,872,picker-0
-26,0,1,883,picker-1
-21,0,464,903,picker-1
-6,0,1,929,picker-1
-37,0,178,939,picker-0
-47,0,1,967,picker-0
-31,0,339,996,picker-0
-40,0,108,996,picker-0
-28,0,392,996,picker-2
-20,0,499,1000,picker-1
-6,0,1,1000,picker-1
-18,0,534,1018,picker-2
-23,0,448,1040,picker-0
-16,0,595,1041,picker-2
-17,0,549,1045,picker-1
-12,0,774,1073,picker-2
-25,0,404,1085,picker-0
-21,0,464,1095,picker-1
-19,0,521,1107,picker-0
-11,0,819,1124,picker-2
-33,0,284,1124,picker-2
-7,0,873,1129,picker-0
-9,0,841,1147,picker-2
-2,0,997,1152,picker-0
-4,0,940,1180,picker-0
-19,0,521,1180,picker-0
0,360,997,1214,picker-2
-14,0,628,1229,picker-1
3,420,1041,1233,picker-0
7,600,1086,1266,picker-0
8,600,1108,1294,picker-0
-13,0,717,1318,picker-1
2,360,1019,1348,picker-2
-8,0,858,1363,picker-1
6,540,1074,1370,picker-2
4,540,1042,1393,picker-2
10,720,1130,1405,picker-0
9,720,1125,1415,picker-2
-5,0,904,1430,picker-1
11,720,1148,1437,picker-2
12,720,1153,1450,picker-0
1,360,1001,1452,picker-1
5,540,1046,1474,picker-1
13,780,1181,1494,picker-0
14,840,1215,1504,picker-2
8,600,1108,1522,picker-0
16,960,1234,1545,picker-0
20,1080,1349,1635,picker-2
15,900,1230,1652,picker-1
17,1020,1267,1678,picker-0
18,1020,1295,1723,picker-0
22,1140,1371,1736,picker-2
4,540,1042,1736,picker-2
23,1260,1394,1756,picker-2
-5,0,904,1815,picker-1
24,1320,1406,1820,picker-0
25,1380,1416,1876,picker-2
19,1080,1319,1948,picker-1
15,900,1230,1976,picker-1
28,1560,1560,2024,picker-0
27,1440,1440,2036,picker-2
21,1140,1364,2043,picker-1
29,1560,1560,2047,picker-0
25,1380,1416,2062,picker-2
32,1560,1560,2103,picker-2
30,1560,1560,2136,picker-0
33,1680,1680,2158,picker-0
19,1080,1319,2183,picker-1
34,1740,1740,2202,picker-0
26,1440,1440,2205,picker-1
25,1380,1416,2207,picker-2
15,900,1230,2233,picker-1
31,1560,1560,2278,picker-1
31,1560,1560,2306,picker-1
21,1140,1364,2357,picker-1
38,1920,1920,2434,picker-0
37,1860,1860,2439,picker-2
19,1080,1319,2496,picker-1
27,1440,1440,2516,picker-2
43,1980,2025,2521,picker-0
41,1980,1980,2545,picker-2
32,1560,1560,2545,picker-2
39,1920,1920,2567,picker-2
19,1080,1319,2569,picker-1
46,2040,2048,2572,picker-0
35,1740,1740,2591,picker-1
