order_id,order_arrival,process_start_time,order_complete_time,station_id
-19,0,1,50,picker-1
-4,0,1,50,picker-1
-4,0,1,50,picker-1
-49,0,1,168,picker-1
-24,0,1,187,picker-2
-15,0,1,187,picker-2
-24,0,1,187,picker-2
-15,0,1,187,picker-2
-50,0,1,208,picker-1
-48,0,1,231,picker-1
-3,0,1,243,picker-2
-42,0,1,271,picker-2
-28,0,1,316,picker-2
-47,0,1,334,picker-1
-13,0,1,338,picker-2
-41,0,188,374,picker-2
-46,0,1,384,picker-0
-44,0,51,399,picker-1
-45,0,51,422,picker-1
-45,0,51,472,picker-1
-42,0,1,479,picker-2
-28,0,1,479,picker-2
-13,0,1,479,picker-2
-3,0,1,479,picker-2
-43,0,169,494,picker-1
