robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-17,taking_pod,"(20,4)",12.000000000000018,12.60000000000002,intersection-19,0.0006693749999999998,0
robot-15,taking_pod,"(16,4)",5.250000000000002,15.300000000000026,intersection-19,0.002623124999999999,0
robot-8,delivering_pod,"(4,15)",13.650000000000022,22.499999999999964,intersection-37,0.003962499999999999,0
robot-15,taking_pod,"(16,4)",15.300000000000026,25.349999999999937,intersection-13,0.0021956249999999997,1
robot-2,delivering_pod,"(4,15)",20.549999999999983,26.549999999999926,intersection-1,0.004567499999999999,0
robot-5,delivering_pod,"(4,15)",22.499999999999964,26.549999999999926,intersection-55,0.00580125,1
robot-18,taking_pod,"(24,4)",26.549999999999926,27.14999999999992,intersection-7,0.0006693749999999998,0
robot-8,delivering_pod,"(4,15)",22.499999999999964,32.54999999999987,intersection-31,0.0022931249999999996,1
robot-6,delivering_pod,"(4,15)",29.3999999999999,38.84999999999981,intersection-55,0.005737499999999999,2
robot-1,delivering_pod,"(4,15)",29.549999999999898,38.99999999999981,intersection-43,0.005673749999999999,1
robot-15,delivering_pod,"(4,15)",34.64999999999985,41.24999999999979,intersection-7,0.001381875,2
robot-17,delivering_pod,"(4,15)",35.69999999999984,45.14999999999975,intersection-19,0.005673749999999999,1
robot-3,delivering_pod,"(4,15)",37.79999999999982,47.24999999999973,intersection-31,0.005737499999999999,2
robot-12,delivering_pod,"(4,21)",34.199999999999854,47.54999999999973,intersection-7,0.0056262499999999984,3
robot-16,taking_pod,"(14,11)",30.599999999999888,47.699999999999726,intersection-55,0.005173749999999998,1
robot-16,taking_pod,"(14,11)",47.699999999999726,49.799999999999706,intersection-49,0.002836874999999999,1
robot-11,delivering_pod,"(4,15)",44.24999999999976,51.59999999999969,intersection-31,0.005334375,1
robot-14,delivering_pod,"(4,21)",44.99999999999975,51.74999999999969,intersection-43,0.005960624999999999,2
robot-19,delivering_pod,"(4,15)",40.349999999999795,51.74999999999969,intersection-7,0.005795624999999997,3
robot-4,delivering_pod,"(4,9)",48.14999999999972,52.19999999999968,intersection-19,0.00580125,2
robot-2,delivering_pod,"(4,15)",44.549999999999756,53.099999999999675,intersection-7,0.005514999999999997,2
robot-18,delivering_pod,"(4,15)",50.6999999999997,54.74999999999966,intersection-7,0.005711249999999999,1
robot-10,delivering_pod,"(4,15)",51.74999999999969,55.64999999999965,intersection-55,0.005578125,1
robot-7,taking_pod,"(17,7)",51.59999999999969,57.149999999999636,intersection-19,0.0032643749999999995,1
robot-16,taking_pod,"(14,11)",49.799999999999706,58.49999999999962,intersection-43,0.0023049999999999998,1
robot-13,delivering_pod,"(4,15)",55.64999999999965,59.69999999999961,intersection-31,0.00580125,1
robot-16,taking_pod,"(14,11)",58.49999999999962,65.84999999999964,intersection-37,0.0026137499999999993,1
robot-16,taking_pod,"(14,11)",65.84999999999964,73.34999999999992,intersection-31,0.002836874999999999,1
robot-16,taking_pod,"(14,11)",73.34999999999992,86.70000000000043,intersection-25,0.0029299999999999986,1
robot-7,delivering_pod,"(4,9)",80.25000000000018,89.70000000000054,intersection-19,0.005673749999999999,1
