order_id,order_arrival,process_start_time,order_complete_time,station_id
-8,0,1,195,picker-0
-8,0,1,195,picker-0
-49,0,1,199,picker-2
-48,0,1,297,picker-0
-45,0,1,297,picker-0
-47,0,1,348,picker-0
-48,0,1,348,picker-0
-23,0,1,376,picker-2
-43,0,1,393,picker-0
-42,0,1,483,picker-2
-44,0,1,547,picker-1
-19,0,1,549,picker-2
-17,0,1,557,picker-0
-11,0,1,590,picker-2
-15,0,1,610,picker-2
-39,0,1,628,picker-1
-46,0,200,719,picker-2
-50,0,196,739,picker-0
-44,0,1,757,picker-1
-41,0,298,759,picker-0
-30,0,1,808,picker-1
-22,0,1,830,picker-1
-40,0,298,864,picker-0
-44,0,1,876,picker-1
-30,0,1,876,picker-1
-37,0,377,887,picker-2
-6,0,1,921,picker-1
-38,0,349,931,picker-0
-37,0,377,933,picker-2
-9,0,1,943,picker-1
-35,0,484,974,picker-2
-17,0,1,981,picker-0
-37,0,377,1006,picker-2
-35,0,484,1006,picker-2
-33,0,550,1026,picker-2
-50,0,196,1054,picker-0
-34,0,548,1055,picker-1
-40,0,298,1105,picker-0
-36,0,394,1239,picker-0
-9,0,1,1262,picker-1
-28,0,629,1294,picker-1
-22,0,1,1294,picker-1
-9,0,1,1294,picker-1
-31,0,591,1301,picker-2
-32,0,558,1348,picker-0
-46,0,200,1374,picker-2
-29,0,611,1419,picker-2
-9,0,1,1467,picker-1
-26,0,740,1478,picker-0
-25,0,760,1524,picker-0
-32,0,558,1524,picker-0
-31,0,591,1558,picker-2
-27,0,720,1625,picker-2
-9,0,1,1652,picker-1
-22,0,1,1681,picker-1
-9,0,1,1715,picker-1
-6,0,1,1715,picker-1
-22,0,1,1755,picker-1
-9,0,1,1755,picker-1
-28,0,629,1755,picker-1
-32,0,558,1785,picker-0
-22,0,1,1806,picker-1
-18,0,888,1868,picker-2
-20,0,865,1874,picker-0
-9,0,1,1890,picker-1
-28,0,629,1890,picker-1
-24,0,809,1963,picker-1
-6,0,1,1963,picker-1
-21,0,831,1986,picker-1
-14,0,932,1997,picker-0
-9,0,1,2014,picker-1
-16,0,922,2080,picker-1
-24,0,809,2220,picker-1
-31,0,591,2287,picker-2
-24,0,809,2293,picker-1
-27,0,720,2315,picker-2
-13,0,944,2348,picker-1
-12,0,975,2360,picker-2
-13,0,944,2376,picker-1
-12,0,975,2388,picker-2
-5,0,1240,2391,picker-0
-7,0,1056,2404,picker-1
-24,0,809,2404,picker-1
-31,0,591,2416,picker-2
-10,0,1027,2439,picker-2
-3,0,1302,2484,picker-2
-4,0,1295,2504,picker-1
-14,0,932,2505,picker-0
-2,0,1349,2528,picker-0
-12,0,975,2579,picker-2
0,480,1479,2625,picker-0
1,480,1525,2647,picker-0
-1,0,1420,2690,picker-2
4,600,1875,2714,picker-0
-12,0,975,2725,picker-2
-1,0,1420,2725,picker-2
-16,0,922,2725,picker-1
4,600,1875,2743,picker-0
2,480,1626,2769,picker-2
5,600,1964,2770,picker-1
7,660,1998,2771,picker-0
-2,0,1349,2771,picker-0
6,600,1987,2792,picker-1
3,540,1869,2814,picker-2
-4,0,1295,2843,picker-1
-13,0,944,2893,picker-1
10,780,2361,2911,picker-2
11,780,2392,2915,picker-0
5,600,1964,2921,picker-1
-1,0,1420,2994,picker-2
3,540,1869,2994,picker-2
8,660,2081,3033,picker-1
13,840,2440,3040,picker-2
-1,0,1420,3040,picker-2
16,900,2529,3090,picker-0
14,840,2485,3100,picker-2
9,720,2349,3122,picker-1
18,960,2648,3156,picker-0
19,960,2691,3165,picker-2
12,780,2405,3189,picker-1
4,600,1875,3204,picker-0
21,1080,2770,3206,picker-2
15,840,2505,3233,picker-1
17,900,2626,3249,picker-0
20,960,2715,3271,picker-0
22,1080,2771,3278,picker-1
25,1200,2815,3291,picker-2
23,1140,2772,3299,picker-0
18,960,2648,3299,picker-0
24,1140,2793,3300,picker-1
27,1380,2916,3328,picker-0
17,900,2626,3328,picker-0
9,720,2349,3328,picker-1
14,840,2485,3339,picker-2
30,1620,3091,3350,picker-0
26,1260,2912,3359,picker-2
28,1560,3034,3373,picker-1
29,1620,3041,3382,picker-2
33,1740,3157,3418,picker-0
31,1680,3101,3426,picker-2
32,1680,3123,3458,picker-1
12,780,2405,3458,picker-1
35,1860,3190,3502,picker-1
21,1080,2770,3522,picker-2
22,1080,2771,3532,picker-1
37,1920,3234,3554,picker-1
38,1980,3250,3595,picker-0
33,1740,3157,3595,picker-0
40,2040,3279,3605,picker-1
35,1860,3190,3605,picker-1
39,2040,3272,3615,picker-0
34,1860,3166,3633,picker-2
43,2160,3301,3648,picker-1
36,1920,3207,3661,picker-2
34,1860,3166,3661,picker-2
42,2160,3300,3667,picker-0
33,1740,3157,3667,picker-0
38,1980,3250,3667,picker-0
41,2040,3292,3683,picker-2
47,2220,3374,3700,picker-1
44,2160,3329,3727,picker-0
45,2220,3351,3747,picker-0
46,2220,3360,3750,picker-2
34,1860,3166,3801,picker-2
38,1980,3250,3845,picker-0
42,2160,3300,3845,picker-0
49,2220,3419,3937,picker-0
48,2220,3383,3957,picker-2
34,1860,3166,4013,picker-2
36,1920,3207,4013,picker-2
51,2340,3459,4122,picker-1
35,1860,3190,4122,picker-1
40,2040,3279,4122,picker-1
54,2400,3596,4172,picker-0
50,2280,3427,4187,picker-2
56,2400,3616,4268,picker-0
52,2340,3503,4310,picker-1
48,2220,3383,4370,picker-2
53,2400,3555,4409,picker-1
53,2400,3555,4438,picker-1
48,2220,3383,4453,picker-2
49,2220,3419,4455,picker-0
55,2400,3606,4460,picker-1
59,2580,3662,4475,picker-2
58,2580,3649,4482,picker-1
60,2580,3668,4495,picker-0
57,2400,3634,4498,picker-2
57,2400,3634,4548,picker-2
61,2640,3684,4593,picker-2
49,2220,3419,4677,picker-0
60,2580,3668,4677,picker-0
63,2640,3728,4717,picker-0
52,2340,3503,4738,picker-1
48,2220,3383,4780,picker-2
57,2400,3634,4780,picker-2
62,2640,3701,4783,picker-1
49,2220,3419,4879,picker-0
64,2760,3748,4902,picker-0
67,2940,3958,4944,picker-2
64,2760,3748,4952,picker-0
63,2640,3728,5080,picker-0
68,3060,4123,5106,picker-1
52,2340,3503,5106,picker-1
70,3120,4188,5122,picker-2
65,2760,3751,5145,picker-2
72,3300,4311,5170,picker-1
53,2400,3555,5170,picker-1
55,2400,3606,5170,picker-1
63,2640,3728,5175,picker-0
57,2400,3634,5220,picker-2
74,3360,4461,5237,picker-1
66,2940,3938,5242,picker-0
75,3360,4476,5248,picker-2
68,3060,4123,5265,picker-1
69,3060,4173,5286,picker-0
73,3300,4410,5287,picker-1
76,3360,4483,5309,picker-1
71,3180,4269,5331,picker-0
79,3480,4594,5372,picker-2
77,3360,4496,5375,picker-0
78,3480,4499,5392,picker-2
81,3600,4784,5416,picker-1
97,3600,4945,5573,picker-2
80,3540,4718,5582,picker-0
66,2940,3938,5582,picker-0
82,3660,5107,5602,picker-1
66,2940,3938,5632,picker-0
84,3720,5146,5638,picker-2
85,3720,5171,5646,picker-1
83,3660,5123,5660,picker-2
98,3720,5238,5717,picker-1
96,3600,4903,5776,picker-0
99,3720,5243,5798,picker-0
86,3780,5249,5830,picker-2
96,3600,4903,5893,picker-0
87,3780,5287,5915,picker-0
96,3600,4903,5944,picker-0
100,3780,5288,5966,picker-1
83,3660,5123,5971,picker-2
101,3780,5310,5988,picker-1
88,3840,5373,5994,picker-2
91,3840,5417,6010,picker-1
90,3840,5393,6016,picker-2
89,3840,5376,6033,picker-0
102,3780,5332,6055,picker-0
92,3840,5574,6061,picker-2
93,3840,5583,6077,picker-0
104,3840,5639,6146,picker-2
98,3720,5238,6181,picker-1
104,3840,5639,6234,picker-2
94,3900,5661,6244,picker-2
106,3900,5777,6268,picker-0
107,3900,5799,6317,picker-0
103,3840,5603,6337,picker-1
108,3900,5831,6343,picker-2
105,3840,5647,6359,picker-1
109,3960,5916,6367,picker-0
93,3840,5583,6367,picker-0
95,3900,5718,6403,picker-1
110,3960,5967,6426,picker-1
112,4080,5995,6463,picker-2
103,3840,5603,6476,picker-1
114,4140,6017,6486,picker-2
111,3960,5989,6499,picker-1
115,4140,6034,6523,picker-0
113,4080,6011,6565,picker-1
116,4140,6056,6583,picker-0
118,4320,6078,6622,picker-0
121,4380,6269,6680,picker-0
104,3840,5639,6705,picker-2
94,3900,5661,6705,picker-2
116,4140,6056,6778,picker-0
117,4200,6062,6782,picker-2
123,4380,6338,6789,picker-1
119,4320,6147,6804,picker-2
125,4560,6360,6829,picker-1
122,4380,6318,6845,picker-0
120,4380,6245,6849,picker-2
126,4560,6368,6868,picker-0
123,4380,6338,6883,picker-1
124,4500,6344,6899,picker-2
120,4380,6245,6899,picker-2
129,4740,6464,6944,picker-2
127,4620,6404,6955,picker-1
128,4620,6427,6965,picker-1
131,4740,6500,6988,picker-1
132,4740,6524,7013,picker-0
130,4740,6487,7056,picker-2
133,4800,6566,7099,picker-1
134,4800,6584,7182,picker-0
135,4860,6623,7205,picker-0
137,4920,6783,7210,picker-2
131,4740,6500,7271,picker-1
134,4800,6584,7277,picker-0
138,5040,6790,7293,picker-1
139,5040,6805,7333,picker-2
136,4860,6681,7344,picker-0
140,5100,6830,7360,picker-1
142,5100,6850,7376,picker-2
145,5280,6945,7399,picker-2
143,5160,6869,7411,picker-0
144,5220,6900,7427,picker-2
130,4740,6487,7427,picker-2
141,5100,6846,7434,picker-0
146,5280,6956,7473,picker-1
147,5340,6966,7501,picker-1
133,4800,6566,7501,picker-1
146,5280,6956,7574,picker-1
149,5400,7014,7726,picker-0
150,5520,7057,7752,picker-2
152,5580,7183,7799,picker-0
148,5400,6989,7819,picker-1
139,5040,6805,7848,picker-2
153,5580,7206,7857,picker-0
147,5340,6966,7869,picker-1
151,5520,7100,7892,picker-1
154,5640,7211,7893,picker-2
142,5100,6850,7921,picker-2
156,5700,7334,7943,picker-2
155,5640,7294,7946,picker-1
157,5700,7345,7951,picker-0
159,5700,7377,7966,picker-2
161,5820,7412,7981,picker-0
160,5760,7400,7988,picker-2
158,5700,7361,8014,picker-1
162,5880,7428,8033,picker-2
158,5700,7361,8042,picker-1
149,5400,7014,8049,picker-0
163,5940,7435,8093,picker-0
167,6060,7753,8123,picker-2
164,5940,7474,8131,picker-1
166,6000,7727,8138,picker-0
165,5940,7502,8153,picker-1
168,6120,7800,8160,picker-0
169,6120,7820,8176,picker-1
170,6180,7858,8192,picker-0
172,6240,7894,8193,picker-2
171,6240,7893,8198,picker-1
173,6300,7944,8215,picker-2
174,6300,7947,8265,picker-1
176,6360,7967,8355,picker-2
178,6540,7989,8378,picker-2
180,6540,8034,8406,picker-2
167,6060,7753,8406,picker-2
165,5940,7502,8412,picker-1
179,6540,8015,8457,picker-1
175,6360,7952,8470,picker-0
177,6420,7982,8492,picker-0
182,6600,8124,8516,picker-2
183,6600,8132,8539,picker-1
177,6420,7982,8565,picker-0
185,6660,8154,8619,picker-1
181,6600,8094,8620,picker-0
183,6600,8132,8669,picker-1
175,6360,7952,8671,picker-0
184,6660,8139,8693,picker-0
181,6600,8094,8709,picker-0
186,6720,8161,8731,picker-0
189,6900,8194,8736,picker-2
187,6840,8177,8758,picker-1
188,6900,8193,8776,picker-0
191,6960,8216,8797,picker-2
193,7020,8356,8819,picker-2
190,6960,8199,8825,picker-1
192,7020,8266,8870,picker-1
194,7020,8379,8919,picker-2
195,7020,8407,9040,picker-2
