robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-18,taking_pod,"(13,16)",0,4.950000000000001,intersection-37,0.0005099999999999999,1
robot-10,taking_pod,"(20,13)",0,6.0000000000000036,intersection-25,0.0023906249999999995,2
robot-3,taking_pod,"(11,20)",0,7.200000000000006,intersection-25,0.001213125,1
robot-17,taking_pod,"(13,4)",3.5999999999999988,7.6500000000000075,intersection-7,0.001513125,0
robot-20,delivering_pod,"(4,9)",0,8.85000000000001,intersection-1,0.0035062499999999985,1
robot-3,taking_pod,"(11,20)",10.500000000000014,11.250000000000016,intersection-37,0.0007387499999999999,0
robot-13,delivering_pod,"(4,15)",7.950000000000008,12.60000000000002,intersection-43,0.0025593749999999996,0
robot-16,delivering_pod,"(4,21)",8.55000000000001,12.60000000000002,intersection-37,0.001666875,0
robot-1,delivering_pod,"(4,9)",16.65000000000002,25.499999999999936,intersection-13,0.003962499999999999,0
robot-10,delivering_pod,"(4,9)",24.749999999999943,28.799999999999905,intersection-31,0.0057375,2
