robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-5,delivering_pod,"(4,9)",1.7999999999999996,4.65,intersection-55,0.0005099999999999999,1
robot-18,delivering_pod,"(4,15)",3.5999999999999988,4.65,intersection-31,0.00046124999999999996,2
robot-24,delivering_pod,"(4,9)",2.0999999999999996,7.800000000000008,intersection-31,0.003003749999999999,1
robot-17,delivering_pod,"(4,9)",4.950000000000001,8.55000000000001,intersection-13,0.0014981249999999999,1
robot-22,delivering_pod,"(4,9)",5.400000000000002,10.950000000000015,intersection-1,0.004398749999999999,1
robot-14,delivering_pod,"(4,9)",8.85000000000001,12.75000000000002,intersection-7,0.005578125,1
robot-17,delivering_pod,"(4,9)",19.049999999999997,23.09999999999996,intersection-19,0.0057375,2
robot-11,delivering_pod,"(4,15)",20.399999999999984,24.449999999999946,intersection-55,0.00580125,1
robot-2,delivering_pod,"(4,9)",20.549999999999983,24.599999999999945,intersection-7,0.00580125,1
robot-6,delivering_pod,"(4,9)",20.99999999999998,25.04999999999994,intersection-31,0.00580125,2
robot-1,delivering_pod,"(4,15)",21.449999999999974,25.349999999999937,intersection-19,0.005578125,1
robot-4,delivering_pod,"(4,15)",22.499999999999964,27.599999999999916,intersection-31,0.005510624999999998,1
robot-22,delivering_pod,"(4,9)",24.599999999999945,28.649999999999906,intersection-7,0.0057375,2
robot-20,delivering_pod,"(4,9)",25.349999999999937,29.2499999999999,intersection-19,0.005578125,1
robot-25,delivering_pod,"(4,9)",27.599999999999916,31.49999999999988,intersection-55,0.005578125,1
robot-12,delivering_pod,"(4,15)",28.649999999999906,32.54999999999987,intersection-7,0.005578125,1
robot-23,delivering_pod,"(4,9)",31.49999999999988,35.39999999999984,intersection-31,0.005578125,2
robot-13,delivering_pod,"(4,15)",34.049999999999855,38.09999999999982,intersection-31,0.00580125,1
robot-10,delivering_pod,"(4,9)",34.49999999999985,38.399999999999814,intersection-19,0.005578125,2
robot-21,delivering_pod,"(4,15)",36.74999999999983,40.79999999999979,intersection-19,0.00580125,2
robot-16,delivering_pod,"(4,15)",38.09999999999982,41.99999999999978,intersection-31,0.005578125,3
robot-15,delivering_pod,"(4,9)",38.399999999999814,42.449999999999775,intersection-19,0.005261249999999999,1
robot-3,delivering_pod,"(4,15)",40.64999999999979,44.699999999999754,intersection-31,0.00580125,2
robot-8,delivering_pod,"(4,15)",41.99999999999978,46.19999999999974,intersection-31,0.005484374999999999,1
robot-28,returning_pod,"(26,22)",103.65000000000107,107.70000000000122,intersection-49,0.00580125,1
robot-9,returning_pod,"(13,13)",105.75000000000115,109.95000000000131,intersection-25,0.0013287500000000003,1
robot-26,returning_pod,"(13,23)",113.25000000000144,117.4500000000016,intersection-49,0.0012900000000000003,1
robot-19,returning_pod,"(32,2)",116.40000000000155,120.3000000000017,intersection-1,0.005578125,1
robot-9,delivering_pod,"(4,15)",118.20000000000162,125.7000000000019,intersection-25,0.002188125,1
robot-7,returning_pod,"(13,25)",122.55000000000179,126.75000000000195,intersection-49,0.0012900000000000003,1
robot-9,delivering_pod,"(4,15)",125.7000000000019,130.50000000000207,intersection-19,0.0021374999999999996,1
robot-26,delivering_pod,"(4,15)",126.90000000000195,134.40000000000222,intersection-49,0.002188125,1
robot-28,delivering_pod,"(4,21)",134.85000000000224,138.9000000000024,intersection-43,0.00580125,2
robot-7,delivering_pod,"(4,21)",135.00000000000225,142.50000000000253,intersection-49,0.002188125,1
robot-26,delivering_pod,"(4,15)",134.40000000000222,143.10000000000255,intersection-43,0.0022931249999999996,2
robot-7,delivering_pod,"(4,21)",142.50000000000253,147.3000000000027,intersection-43,0.0021374999999999996,1
robot-18,returning_pod,"(16,17)",156.15000000000305,158.25000000000313,intersection-37,0.0027418749999999995,1
