order_id,order_arrival,process_start_time,order_complete_time,station_id
-43,0,1,317,picker-0
-32,0,1,522,picker-1
-44,0,1,552,picker-2
-39,0,1,622,picker-2
-35,0,1,622,picker-2
-31,0,1,696,picker-1
-44,0,1,746,picker-2
-30,0,1,768,picker-2
-27,0,1,776,picker-0
-26,0,1,810,picker-0
-22,0,1,826,picker-2
-20,0,1,848,picker-1
-44,0,1,954,picker-2
-30,0,1,954,picker-2
-9,0,1,962,picker-2
-6,0,1,984,picker-1
-24,0,1,994,picker-0
-36,0,1,1004,picker-1
-15,0,1,1016,picker-0
-4,0,1,1024,picker-1
-12,0,1,1105,picker-0
-22,0,1,1124,picker-2
-49,0,523,1124,picker-1
-50,0,318,1178,picker-0
-12,0,1,1178,picker-0
-48,0,553,1192,picker-2
